report_date,security_type,ranking_type,rank,issuer,cusip,ticker,business_summary,new_manager_count,new_entry_total_value_usd,reduced_manager_count,reduced_total_value_usd,holder_manager_count,total_holding_value_usd
2025-12-31,etf,top_new_manager_count,1,SELECT SECTOR SPDR TR - STATE STREET TEC (XLK),81369Y803,XLK,ETF/基金产品，主要提供对 SELECT SECTOR SPDR TR - STATE STREET TEC 所代表资产、行业或指数的组合敞口。,1789,36071987086,0,0,1789,36071987086
2025-12-31,etf,top_new_manager_count,2,SELECT SECTOR SPDR TR - STATE STREET FIN (XLF),81369Y605,XLF,ETF/基金产品，主要提供对 SELECT SECTOR SPDR TR - STATE STREET FIN 所代表资产、行业或指数的组合敞口。,1386,24439967071,0,0,1386,24439967071
2025-12-31,etf,top_new_manager_count,3,SELECT SECTOR SPDR TR - STATE STREET HEA (XLV),81369Y209,XLV,ETF/基金产品，主要提供对 SELECT SECTOR SPDR TR - STATE STREET HEA 所代表资产、行业或指数的组合敞口。,1312,19502148846,0,0,1312,19502148846
2025-12-31,etf,top_new_manager_count,4,SELECT SECTOR SPDR TR - STATE STREET ENE (XLE),81369Y506,XLE,ETF/基金产品，主要提供对 SELECT SECTOR SPDR TR - STATE STREET ENE 所代表资产、行业或指数的组合敞口。,1301,11925915999,0,0,1301,11925915999
2025-12-31,etf,top_new_manager_count,5,SPDR SERIES TRUST - STATE STREET SPD (SPYM),78464A854,SPYM,ETF/基金产品，主要提供对 SPDR SERIES TRUST - STATE STREET SPD 所代表资产、行业或指数的组合敞口。,1210,47294577182,0,0,1210,47294577182
2025-12-31,etf,top_new_manager_count,6,SELECT SECTOR SPDR TR - STATE STREET UTI (XLU),81369Y886,XLU,ETF/基金产品，主要提供对 SELECT SECTOR SPDR TR - STATE STREET UTI 所代表资产、行业或指数的组合敞口。,1073,9515406852,0,0,1073,9515406852
2025-12-31,etf,top_new_manager_count,7,SELECT SECTOR SPDR TR - STATE STREET IND (XLI),81369Y704,XLI,ETF/基金产品，主要提供对 SELECT SECTOR SPDR TR - STATE STREET IND 所代表资产、行业或指数的组合敞口。,1046,14203839937,0,0,1046,14203839937
2025-12-31,etf,top_new_manager_count,8,SPDR SERIES TRUST - STATE STREET SPD (SPYG),78464A409,SPYG,ETF/基金产品，主要提供对 SPDR SERIES TRUST - STATE STREET SPD 所代表资产、行业或指数的组合敞口。,986,26951468778,0,0,986,26951468778
2025-12-31,etf,top_new_manager_count,9,SELECT SECTOR SPDR TR - STATE STREET CON (XLY),81369Y407,XLY,ETF/基金产品，主要提供对 SELECT SECTOR SPDR TR - STATE STREET CON 所代表资产、行业或指数的组合敞口。,940,12819780742,0,0,940,12819780742
2025-12-31,etf,top_new_manager_count,10,SPDR SERIES TRUST - STATE STREET SPD (BIL),78468R663,BIL,ETF/基金产品，主要提供对 SPDR SERIES TRUST - STATE STREET SPD 所代表资产、行业或指数的组合敞口。,936,19070087895,0,0,936,19070087895
2025-12-31,etf,top_new_manager_count,11,SPDR SERIES TRUST - STATE STREET SPD (SDY),78464A763,SDY,ETF/基金产品，主要提供对 SPDR SERIES TRUST - STATE STREET SPD 所代表资产、行业或指数的组合敞口。,869,7466514201,0,0,869,7466514201
2025-12-31,etf,top_new_manager_count,12,SPDR SERIES TRUST - STATE STREET SPD (SPYV),78464A508,SPYV,ETF/基金产品，主要提供对 SPDR SERIES TRUST - STATE STREET SPD 所代表资产、行业或指数的组合敞口。,853,22028668390,0,0,853,22028668390
2025-12-31,etf,top_new_manager_count,13,SELECT SECTOR SPDR TR - STATE STREET CON (XLP),81369Y308,XLP,ETF/基金产品，主要提供对 SELECT SECTOR SPDR TR - STATE STREET CON 所代表资产、行业或指数的组合敞口。,832,10534880700,0,0,832,10534880700
2025-12-31,etf,top_new_manager_count,14,SELECT SECTOR SPDR TR - STATE STREET COM (XLC),81369Y852,XLC,ETF/基金产品，主要提供对 SELECT SECTOR SPDR TR - STATE STREET COM 所代表资产、行业或指数的组合敞口。,829,16054200940,0,0,829,16054200940
2025-12-31,etf,top_new_manager_count,15,SPDR SERIES TRUST - STATE STREET SPD (SPSM),78468R853,SPSM,ETF/基金产品，主要提供对 SPDR SERIES TRUST - STATE STREET SPD 所代表资产、行业或指数的组合敞口。,717,7631607824,0,0,717,7631607824
2025-12-31,etf,top_new_manager_count,16,ISHARES TR - CORE UNIVRSL USD (IUSB),46434V613,IUSB,ETF/基金产品，主要提供对 ISHARES TR - CORE UNIVRSL USD 所代表资产、行业或指数的组合敞口。,623,24667178359,0,0,623,24667178359
2025-12-31,etf,top_new_manager_count,17,SPDR SERIES TRUST - STATE STREET SPD (SPMD),78464A847,SPMD,ETF/基金产品，主要提供对 SPDR SERIES TRUST - STATE STREET SPD 所代表资产、行业或指数的组合敞口。,580,11125972204,0,0,580,11125972204
